"您为此书添加的 Kindle 笔记：",,,
"活出最乐观的自己【积极心理学之父塞利格曼的幸福科学四部曲之二】 (清华大学社会科学学院积极心理学研究中心专业推荐！)",,,
"作者：马丁•塞利格曼(Martin E.P.Seligam)、 洪兰、 任俊、 罗劲",,,
"免费 Kindle 极速预览：",,,
"http://z.cn/eoFmjVI",,,
----------------------------------------------,,,
,,,
"批注类型","位置","已加星标？","批注"
"标注 (黄)","第 42 页","","你对发生在你身上的大小不幸事件的原因是怎么看的？有的人很容易就放弃了，他们认为“都是我不好，我注定一辈子倒霉，做什么都没有用”。另一种人拒绝向命运低头，他们说“这只是环境使然，厄运很快就会过去，生命中还有许多东西比这件事更重"
"标注 (黄)","第 42 页","","你对厄运的解释习惯和你的解释风格，不仅仅是你在失败时嘴里说出来的话。它是一种习惯性的思维方式，是你在童年期或青少年期养成的。你的解释风格表明了你是乐观还是"
"标注 (黄)","第 43 页","","解释风格有三个维度——永久性、普遍性和"
"标注 (黄)","第 43 页","","容易放弃的人相信发生在他身上的坏事或霉运是永久的，坏事永远会影响着他的"
"标注 (黄)","第 43 页","","如果你认为厄运是“永远”，“从不”，那你就是悲观型的。如果你认为厄运是“有时候”，“最近”，那你就是乐观型"
"标注 (黄)","第 44 页","","乐观的解释风格正好相反，相信好运会持久的人比较"
"标注 (黄)","第 44 页","","乐观的人将好运归因于人格特质、能力等永久性的因素。悲观的人把好运看成与暂时性因素相关，例如情绪、努力"
"标注 (黄)","第 45 页","","相信好运是永久的人在他们成功后往往更加努力，而把成功看成是暂时的人常常在成功后就放弃了，因为他们相信成功只是"
"标注 (黄)","第 45 页","","永久性是时间上的维度，普遍性是空间上的维"
"标注 (黄)","第 45 页","","他们在普遍性这个维度上正好相反。凯文认为解雇这件事使他以往的努力都付诸流水，他认为自己做什么都不行。娜拉则认为她只是做会计不行，其他能力还是很好的，她认为自己被解雇是因为某个特殊的"
"标注 (黄)","第 45 页","","第一个是永久性维度决定一个人会放弃"
"标注 (黄)","第 45 页","","第二个预测是有关普遍性的。具有普遍性特点的解释风格会在许多不同的情境中造成无助，而特定性的解释风格只会在某些问题领域内造成"
"标注 (黄)","第 46 页","","第三个预测是"
"标注 (黄)","第 46 页","","你是否习惯把事情灾难"
"标注 (黄)","第 46 页","","对好运的乐观型解释风格正好和对霉运的解释相反，乐观者认为坏事情的发生是有其特定原因的，而好事情的发生会加强他对所做的每一件事的"
"标注 (黄)","第 46 页","","悲观的人认为坏事情的发生是由于普遍的原因，而好事情的发生是由于特定的"
"标注 (黄)","第 47 页","","为不幸的事找永久性和普遍性的原因是在练习"
"标注 (黄)","第 48 页","","对挫折采取永久性和普遍性解释风格的人容易在压力下崩溃，这个崩溃是长期的，而且是全面"
"标注 (黄)","第 48 页","","都是我的"
"标注 (黄)","第 48 页","","当不好的事情发生时，我们可以怪罪自己（内在化），也可能怪罪旁人或环境（外在化）。人在失败时，如果怪罪自己，那他们的自视很低，他们认为自己一文不值，没有才干也不"
"标注 (黄)","第 49 页","","解释风格的三个维度中，人格化是一个最容易懂且最显而易见的维度。人格化也是最容易被过度重视的维度，它只控制你如何看待自己，即所谓的“自我感觉良好”。而普遍性和永久性则控制着你的行为，你感到无助的持久性，以及无助感涉及的"
"标注 (黄)","第 51 页","","不是逃避责任的"
"标注 (黄)","第 51 页","","我们绝对是要人们为自己的行为负责，但是目前有些心理学的教条却使人可以规避责任：邪恶的行为被错误地认为是精神失常；缺乏教养的行为被认为是神经官能"
"标注 (黄)","第 51 页","","抑郁的人常常把不是他的错也揽到自己身上，他们常去负不需要负的"
"标注 (黄)","第 51 页","","假如你有悲观的解释风格，那么你在下面四个方面会碰到困难。第一，你很容易抑郁。第二，你没有发挥你的潜能，以你的表现应该可以更好。第三，你的健康、你的免疫机能比较差，而且年纪越大，健康情况会越差。第四，生命一点情趣都没有，悲观的解释风格使得生活很"
"标注 (黄)","第 52 页","","如果你应用第12章所说的技巧，你可以进行选择，可以去提高每一天"
"标注 (黄)","第 52 页","","解释风格有三个维度——永久性、普遍性和人格化。普遍性和永久性控制着你的行为，你的无助感的持久性，以及无助感涉及的"
"标注 (黄)","第 52 页","","★人格化控制你如何看待自己，对自己的感觉。当不好的事情发生时，悲观的人怪罪自己，乐观的人怪罪旁人或环境。当好事情发生时，悲观的人归功于旁人或环境，而乐观的人归功于"
"标注 (黄)","第 54 页","","悲观、消沉的时候，我们会经历一个轻微的心理失常状态——抑郁。抑郁是悲观的放大，而了解了悲观，就可以帮助我们了解它的放大形态——抑郁"
"标注 (黄)","第 54 页","","抑郁分三种，第一种是一般性的抑郁（normal depression）。这是大家所了解的一般形态，它来自痛苦和失落。对有思想、对未来有期待的万兽之灵来说，这种痛苦和失落是不可避免的。当我们遭遇痛苦和失落时，我们会变得很懒散、被动、无精打采。我们不去上班，不去上课，对以前喜欢的活动也提不起劲；我们吃不下饭，睡不着觉，不想见朋友，对性也没"
"标注 (黄)","第 54 页","","过一阵子后，我们自己会慢慢变好，这真是大自然神奇的恩赐。这种一般性的抑郁非常普遍，就像心理上的小感冒。我发现在任何时候，大约有1/4的人处于这种抑郁状态"
"标注 (黄)","第 54 页","","另外两种抑郁都被称为抑郁症（depressive disorder），包括单极抑郁症和双极抑郁症（unipolar and bipolar depression）。单极抑郁症没有躁狂症（mania）的症状。躁狂症的症状与抑郁症正好相反：患者会无故地极度快乐、狂妄，不停地说，不停地动，自我膨胀得一塌糊涂，天下好像没有他办不到的"
"标注 (黄)","第 55 页","","下一个问题就是：单极抑郁症和一般性的抑郁有关系吗？我认为它们是同一个东西，不同之处在于程度和症状的多寡。一个被诊断为单极抑郁症的人就被贴上了精神病人的标签，而另一个有一般性抑郁的人却不会被视为病人。其实两者间的差别非常"
"标注 (黄)","第 55 页","","你抑郁时的思考方式与非抑郁时是不一样的：抑郁时，对自己、对世界及未来的看法都是灰色的。当你抑郁时，一丁点的小障碍看起来都像不可逾越的高山，你相信你手指碰到的每一样东西都会变成灰烬，你对为什么你的成功其实是个失败有着无数的"
"标注 (黄)","第 57 页","","悲观的解释风格是抑郁的核心。对未来、对世界、对自己的消极看法，来自对一个事件的永久性、普遍性及人格化的归因"
"标注 (黄)","第 57 页","","抑郁的第二个表现是消极的"
"标注 (黄)","第 57 页","","抑郁的情绪并非不可打破。抑郁症患者通常在刚醒来时情绪处于最低潮，你躺在床上想着过去种种的失败，想着今天可能要面临的失败，假如你躺在床上不起身，这些失败的想法就像一床棉被一样把你包裹着，如果你爬起床，开始一天的活动，通常情绪会变"
"标注 (黄)","第 57 页","","晚上通常是一天中最不抑郁的"
"标注 (黄)","第 57 页","","抑郁症并不仅是悲伤而已，它同时也有焦虑和易怒。但是当抑郁症非常严重时，焦虑和易怒就退出了，抑郁者变得麻木而"
"标注 (黄)","第 57 页","","抑郁症第三个症状是行为上的。抑郁者有三种行为症状：被动、犹豫不决以及自杀"
"标注 (黄)","第 57 页","","他们也很容易放弃，只要一点点不顺利就立刻"
"标注 (黄)","第 62 页","","如果你的分数落在重度抑郁的范围内，或不管是哪个范围，只要你认为你有机会就会自杀的话，我劝你赶快去找心理"
"标注 (黄)","第 65 页","","要被诊断为“重度抑郁症”，你必须有下面9个症状中的5个。 1.情绪低落。 2.对日常活动失去兴趣。 3.没有胃口。 4.失眠。 5.思维或动作迟缓。 6.无精打采，没有活力。 7.有罪恶感或觉得自己毫无价值。 8.思考能力减弱，注意力不集中。 9.有自杀的想法或"
"标注 (黄)","第 69 页","","瘦骨嶙峋且好动的埃利斯一步一步地紧逼病人，直到他们放弃那些不合理的信念和想法，从抑郁症中解脱出来。“你说你没有爱就活不下去是什么意思？”他大喊：“胡说八道，爱根本就是很难得到的。你要浪费你的生命去追求一个几乎不存在的东西吗？你活在‘应该’的魔爪下，不要对你说你应该怎么样，这会使你落入抑郁情绪的深渊"
"标注 (黄)","第 70 页","","认为抑郁症来自病人对自己消极的看法，并没有什么深埋在潜意识里的"
"标注 (黄)","第 70 页","","我们的理由很简单。既然抑郁症来自一个长期养成的消极思维模式，那如果我们可以改变这种思维模式，我们就可以治疗抑郁"
"标注 (黄)","第 71 页","","你怎样看问题决定了你是否能从抑郁中解脱出来，或者使抑郁更加严重。一次失败或打击会告诉你，你现在是无助的，但习得性无助只会造成暂时的抑郁，除非你有悲观的解释"
"标注 (黄)","第 71 页","","女性得抑郁症的比例是男性的两倍，因为一般来说，女人看事情的方式正好是放大抑郁的方式。男人碰到事情会去做，而不会反复地去想；但女人会钻牛角尖，把事情翻来覆去地想，去分析它为什么是这样。心理学家把这种强制性的分析叫做反刍（rumination）。反刍的习惯加上悲观的解释风格，结果就是严重的抑郁"
"标注 (黄)","第 71 页","","悲观的解释风格和反刍的习惯都是可以改变的，而且这个改变是永久性的。认知疗法可以创造出乐观的解释风格并且能治疗反刍。你在下面的章节中会看到它如何在别人身上发挥效用，你也可以学习把这个技巧应用到自己身"
"标注 (黄)","第 71 页","","悲观的人更容易抑郁"
"标注 (黄)","第 75 页","","第二，认知疗法的侧重点是将悲观的解释风格改变成乐观的解释风格，认知治疗得越多，向乐观风格转变得就越彻底，而越转向乐观，就离抑郁症越"
"标注 (黄)","第 76 页","","不能改变抑郁症的根源——悲观的"
"标注 (黄)","第 76 页","","记得我们前面很关心悲观是不是抑郁症的原因。验证这个因果关系的方法就是将悲观变为"
"标注 (黄)","第 76 页","","假如你认为事情不顺利都是“我的原因，而且这件坏事注定要跟着我一辈子，我所有的努力都白费了”，那你已经准备好要得抑郁症了。你这样想并不表示你常常会这样对你自己说，反覆咀嚼不如意的事的人叫做反刍"
"标注 (黄)","第 77 页","","丹雅变成一个无止尽的反刍者，一直沉浸在自怨自艾中，没有表示要采取任何行动来改变"
"标注 (黄)","第 77 页","","下面我们来看悲观–反刍的联结是如何引发出抑郁症的。第一，你受到无助感的威胁；第二，你去寻找威胁的来源，假如你是个悲观者，你找出的原因就是永久的、普遍的以及人格化的。因此，你预期未来也是无助的，在其他情境下也是无助的，这种预期引发了抑郁"
"标注 (黄)","第 77 页","","如果你是个反刍者，这种预期会常常发生，它越常发生，你就越抑郁。沉浸在不幸的事件中会启动这个循环，而反刍则加快这个循环。不反刍的人即使他是悲观的，也可以避免抑郁症。乐观的反刍者也可以避免抑郁症。改变悲观或改变反刍都能减轻抑郁症，两者都改变则效果"
"标注 (黄)","第 79 页","","最后一个理论是有关反刍的。当灾难来临时，女性总是去想而男性却"
"标注 (黄)","第 80 页","","假如抑郁是思维的失常，那悲观和反刍就是火上加油。去分析它只会加大它的威力，去行动，不去想它，才可能打破它的"
"标注 (黄)","第 80 页","","女人想去找出情绪低落的原因，而男人会去打篮球或去工作来忘记"
"标注 (黄)","第 80 页","","我们处在一个自我意识（self-consciousness）的时代，如果我们从小就被鼓励去正视问题、分析问题而不是去行动的"
"标注 (黄)","第 81 页","","100年前，人们对行为（特别是坏的行为）最流行的解释是“个性”（character），而个性是不容易改变的。如果一个人认为自己是愚蠢的，而不认为是由于自己读书不多的话，那他就不会采取行动来改进"
"标注 (黄)","第 81 页","","无知开始被看成是因为没有受教育，而不是愚蠢；犯罪被看成是贫穷的产物而不是因为本性邪恶；贫穷被看成是没有机会，而不是懒惰；疯狂被看成是适应不良，是可以改正的。这个新的、强调个人受环境影响的理论就是行为主义的基本"
"标注 (黄)","第 82 页","","认知疗法有五种"
"标注 (黄)","第 82 页","","第一，学会去认识在情绪最低沉时自动冒出来的"
"标注 (黄)","第 82 页","","第二，学会与这个自动冒出来的想法抗争，举出各种与之相反的"
"标注 (黄)","第 82 页","","第三，学会用不同的解释——重新归因（reattribution）去对抗原有的"
"标注 (黄)","第 82 页","","第四，学会如何把你自己从抑郁的思绪中"
"标注 (黄)","第 83 页","","第五，学会去认识并且质疑那些控制你并引起抑郁的"
"标注 (黄)","第 83 页","","“没有爱，我活不下去。” “除非每一件事都完美，否则我就是一个失败者。” “除非每一个人都喜欢我，否则我就是一个失败者。” “任何问题都有答案，我必须找到"
"标注 (黄)","第 83 页","","像这样的假设都会导致抑郁症，你完全可以选择一套新的假设去过"
"标注 (黄)","第 83 页","","“爱情的确很珍贵，但很难得到。” “尽力就是成功。” “有人喜欢你，也肯定有人讨厌你。” “生活中免不了有许多问题，我只能挑最重要的去"
"标注 (黄)","第 83 页","","我问她：“假如路上有个醉汉对你说你很讨厌，你会不会信他说的话？” “当然不会。” “但你对自己说同样没道理的话时，你就相信了，就是因为你认为这些话的来源——你自己是比较可信的。事实并非如此，很多时候我们将事实扭曲得比醉汉还"
"标注 (黄)","第 86 页","","苏菲很快就学会通过举证来对抗她的习惯性信念，挑战这些信念的合理性。她学会了一个重要的技术：如何与自己进行乐观的对话。她的解释风格"
"标注 (黄)","第 86 页","","塞利格曼的乐观箴言 ★男人碰到事情会去做，而不会反复去想；但女人会钻牛角尖，把事情翻来覆去地想，去分析它为什么是这样。女性看事情的方式造成女性得抑郁症的比例是男性的两倍。 ★研究显示，悲观确实是引发抑郁症的重要原因。认知疗法通过将悲观的解释风格改变成乐观的解释风格，从而减轻抑郁症状，让抑郁症患者彻底、永远摆脱抑郁"
"标注 (黄)","第 89 页","","你有没有研究过什么人永远不会放弃？什么人不管你对他做什么，他都不会变得"
"标注 (黄)","第 90 页","","克瑞顿大致说了一下辞职的过程：“即使是最好的业务员，每天也会遭到很多次拒绝，而且这些拒绝多半是接二连三的，这对他们的士气打击很大。所以业务员会感到气馁，一旦他们气馁了，拒绝对他们来说就越来越难接受，使他们越来越难以鼓起勇气去打下一个电话。于是他们一直拖着不打电话，而越不打电话就越没有业绩，一旦没有业绩，他们就开始考虑离职。当他们碰到障碍，走不通时，很少有人会想着越过它，绕过它或从底下穿过"
"标注 (黄)","第 91 页","","“你要记住，”他说，“这个行业最吸引人的地方是它的独立性，没有人天天盯着他们，他们有相当大的自由度。而另一方面就是，只有坚持打到第十个电话的人才会"
"标注 (黄)","第 93 页","","传统的观点认为成功有两个必备要素，第一是能力或天资，智商测验和高考都是用来测量它的。第二是动机，不管你的能力多高，如果你缺乏动机，你也不会成功。足够的动机可以弥补能力上的"
"标注 (黄)","第 93 页","","我认为传统的观点并不完善。一位作曲家就算有莫扎特的天分和强烈的成功动机，如果他认为自己不擅长作曲，他还是不会成功。他的悲观想法会让他很容易放弃。成功需要坚持，一种遇到挫折也不放弃的坚持，我认为乐观的解释风格是坚持的"
"标注 (黄)","第 93 页","","成功的解释风格理论认为，要筛选出能在有挑战性的工作上获得成功的人，要考虑三个方面： 1.能力； 2.动机； 3.乐观。 这三者决定了"
"标注 (黄)","第 96 页","","我们也看到，与悲观组比起来，乐观组一直在进步。为什么？我们的答案是乐观造成了坚持。一开始，能力、动机跟坚持一样重要，但时间一久，被拒绝得越来越多时，坚持就变得比前两项更重要"
"标注 (黄)","第 98 页","","“所以，这是我现在的难题：你能不能使一个人成为乐观的人，即使他已经有30年，甚至50年的悲观思维"
"标注 (黄)","第 99 页","","泰格（Lionel Tiger）在他那本《乐观：希望的生物学》（Optimism:The Biology of Hope）中提出，人类在进化中生存下来是因为人类对真实世界有着乐观的幻觉。相信现实会变得比它原来更好的希望驱使着人类去超越自己，去发挥"
"标注 (黄)","第 99 页","","那么，悲观的作用是什么？或许它可以校正我们的一些错误，使我们能够正确地认识"
"标注 (黄)","第 100 页","","事实上，有一些证据显示抑郁的人虽然比较哀伤，但比较"
"标注 (黄)","第 100 页","","这些是过去10年来非常一致的发现。抑郁的人，大部分是悲观者，他们可以正确地判断出他们的控制权。而不抑郁的人，大部分是乐观者，相信他们有比实际情况更大的控制权，尤其当他们处于无助情境时，他们反而高估了自己的控制"
"标注 (黄)","第 101 页","","整体来说，不抑郁的人扭曲外界的事实来迎合自己，而抑郁的人看世界更准确"
"标注 (黄)","第 103 页","","在遭遇打击时，悲观会产生惰性和不"
"标注 (黄)","第 103 页","","悲观引起主观的不良感觉——情绪低落、忧虑、焦虑。 悲观是自我实现"
"标注 (黄)","第 103 页","","悲观者在面对挑战时会退缩，所以即使成功在望，也会变成"
"标注 (黄)","第 103 页","","即使悲观者是对的，事情的确不好，但他们的悲观解释会把小不幸变成"
"标注 (黄)","第 104 页","","通常我们是刚起床时比较抑郁，日头越往西移，抑郁程度越减轻，不过这还受到基本休息与活动周期（Basic Rest and Activity Cycle，简称BRAC）的影响。在BRAC达到高潮时，我们比较乐观，在低潮时，我们会倾向悲观和"
"标注 (黄)","第 104 页","","进化很厉害的地方就在于它利用乐观和悲观之间的动态平衡来互相牵制、互相校正。我们可以学习在大部分时间里选择乐观，但是在必要时也可以利用"
"标注 (黄)","第 104 页","","塞利格曼的乐观箴言 ★传统的成功观点并不完善。要成功，除了具备能力和动机之外，还需要坚持，遇到挫折也绝不放弃的坚持，而乐观的解释风格则是坚持的灵魂。 ★成功的生活需要大部分时间的乐观和偶尔的悲观。轻度的悲观使我们在做事之前三思，不会做出愚蠢的决定；乐观使我们的生活有梦想、有计划、有"
"标注 (黄)","第 106 页","","解释风格对成人的生活影响非常大，它可以引发抑郁，也可以使人在悲剧发生后立刻振作起来；它可以让人对生活失去兴趣，也可以使人充分享受人生；它可以阻止一个人实现他的目标，也可以使人超越他的目标。我们下面会看到，解释风格如何影响别人对你的看法，如何把别人变成同盟或敌人，它甚至还会影响"
"标注 (黄)","第 114 页","","抑郁症的一个重要成分——绝望是预测自杀的最准确的指标。自杀的人都认为目前这种悲惨的情形会延续到永远，死是唯一的"
"标注 (黄)","第 126 页","","当我们失败时，我们都会有一阵子觉得无助或抑郁。我们不会像以前那样主动去做一些事，即使勉强做了，可能也不会持久。如你前面所读到的，解释风格是习得性无助的核心。乐观的人能够很快从这个短暂的无助状态中恢复过来。对他们来说，失败仅是个挑战，是走向胜利的道路上的一些障碍。他们把挫折看成是暂时的、特定"
"标注 (黄)","第 126 页","","悲观的人沉溺在失败中，因为他们把失败看成是永久的、普遍的。他们变得很抑郁，而且停留在无助中。一点小挫折在他们看来就是大失败，而一处失败就认为会满盘皆输，自己先竖白旗投降了。他们可能要几个星期甚至几个月后才能恢复，而且再有一点挫折，他们又会进入无助的深渊"
"标注 (黄)","第 126 页","","成功属于足够聪明又乐观的"
"标注 (黄)","第 136 页","","我们的研究显示：父母吵架或分居会显著增加孩子的抑郁，因此又引起孩子在学校里的问题增加，而他的解释风格也会变得更悲观。学校里的问题加上新出现的悲观使他沉溺于抑郁，恶性循环就此"
"标注 (黄)","第 141 页","","哪一个在先？乐观还是成绩优秀？常识告诉我们有才能的人因为他有才能所以才乐观。但我们的研究清楚地反映出相反的"
"标注 (黄)","第 144 页","","我本人是个棒球迷，而且，对这项运动的研究会把我们带到人类成功和失败的核心，它告诉我们“失败的痛苦”和“胜利的喜悦”为什么"
"标注 (黄)","第 155 页","","这种故事很普遍，普遍到大家都知道希望可以维持生命，无助则会摧毁"
"标注 (黄)","第 158 页","","心理活动怎么可能影响肉体的疾病呢？这是我所知道的最难解的哲学"
"标注 (黄)","第 158 页","","这就是唯物论，唯物论者坚决反对那些思想和情绪可以影响身体的"
"标注 (黄)","第 159 页","","第一个问题是有关“原因”（cause）的。希望真的可以维持生命吗？绝望和无助真的会致命"
"标注 (黄)","第 159 页","","第二个问题是有关“机制”（mechanism）的。在这个物质的世界里，希望和无助是怎么运作的？什么样的机制使心理对身体产生了"
"标注 (黄)","第 159 页","","第三个问题是有关“治疗”（therapy）的。改变你的想法可以增进健康，使你延年益寿"
"标注 (黄)","第 159 页","","这些研究显示，习得性无助不只是影响了行为，它深入细胞的层次，使免疫系统变得"
