"您为此书添加的 Kindle 笔记：",,,
"你从未真正拼过（LINKEDIN（领英）跟大咖学精进，跑好职场第一棒！分享高效工作方法，打通职场上升之门，少走弯路！） (博集成功法则系列)",,,
"作者：LinkedIn(领英)",,,
"免费 Kindle 极速预览：",,,
"http://z.cn/ckEObYb",,,
----------------------------------------------,,,
,,,
"批注类型","位置","已加星标？","批注"
"标注 (黄)","第 77 页","","这里我推荐一本书——《为自己代言》，里面介绍了很多表达和说服的方法，也许对你有所"
"标注 (黄)","第 80 页","","尤其是在这个快速变化的世界，什么都不做的风险更大，因为我们需要适应不断的"
"标注 (黄)","第 80 页","","“If you're not a little scared， then you're not doing it right.” ——Sarah Addison Allen, The Peach Keeper 如果你感到舒适， 那你可能没有在正确的做事。 ——莎拉·艾迪生·艾伦《桃子守护者》"
"标注 (黄)","第 83 页","","相反，大多数人只是弄清了一个是或否的问题：如果最坏的情况发生了，他们能否忍受那样的"
"标注 (黄)","第 89 页","","接受任务时，先要搞清楚做什么、完成标准是什么、完成期限在何时，并逐一确认清楚。完成任务后，及时反馈，做到"
"标注 (黄)","第 90 页","","那就是——你会忘记吃饭吗？如果你真的想坚持下去，就把它当成生活的一部分，像记得吃饭一样去记得就"
"标注 (黄)","第 91 页","","我不说这是我的梦想，我只是从来没有想过要"
"标注 (黄)","第 93 页","","如果过了一会儿我忘记了这件事情，那就说明这件事情并不是非常重要。这样做的好处就是，我能够精神集中地办一件事情，效率能够大幅度"
"标注 (黄)","第 96 页","","3.消极对话：“这肯定不行的，这事怎么能做成呢？”“今天真是太糟糕了。”——如此消极，很难"
"标注 (黄)","第 96 页","","4.抱怨：抱怨是一种病，而且还会“传染”，向整个世界传递负"
"标注 (黄)","第 96 页","","5.借口：事情搞砸了，就把责任推卸给除自己以外的任何一个人，甚至连坏天气、不给力的投影仪都能成为"
"标注 (黄)","第 97 页","","6.粉饰与夸大其词：再进一步，就是"
"标注 (黄)","第 98 页","","任何时候都别期望你说了直接的话之后，用“抱歉我说话比较直接”就能把伤害降低到"
"标注 (黄)","第 102 页","","在讲求品质生活、注重精致细节的日本人眼里，时间值得被珍惜，生命值得被"
"标注 (黄)","第 104 页","","人的烦恼在于想太多而实现得太少，若是记录下来了则不会在“忙、茫、盲”的日子中度过每一"
"标注 (黄)","第 113 页","","Relationships matter because every job boils down to interacting with"
"标注 (黄)","第 118 页","","Early to bed and early to rise, makes a man healthy, wealthy, and"
"标注 (黄)","第 121 页","","在其TED演讲《5个摧毁梦想的方法》"
"标注 (黄)","第 139 页","","say harsh things, make tough"
"标注 (黄)","第 142 页","","你必须相信，这些片断会在你未来的某一天串联起来，你必须要相信你的勇气、目的、际遇与"
"标注 (黄)","第 142 页","","人生如棋局，不要急功近利，计较一棋一子之得失，而要着眼于未来，才能将各种资源和能力织成牢不可破的"
"标注 (黄)","第 146 页","","从心理学的角度来看，获得夸奖甚至是人类生命中最本质的"
"标注 (黄)","第 146 页","","就像约翰·杜威说的：“人类最深刻的冲动是做一位重要的人物，因为重要的人物时常能够得到别人的"
"标注 (黄)","第 149 页","","人的天性里都有脆弱面——不可能有绝对的"
"标注 (黄)","第 150 页","","人们的自信通常只有20%是通过自己产生的，80%是外界给予"
"标注 (黄)","第 150 页","","我们都是带有偏见的人，我们只相信我们相信的，只看见我们想看见的。所以有一句话说得很好：你认为这个世界是怎样的，那它就是怎样"
"标注 (黄)","第 152 页","","实际上，只要让对方感受到优越感，就是有效的夸奖方式，即使你没有半句阿奉"
"标注 (黄)","第 152 页","","将对方和自己做比较并且含蓄地表达出自己略逊一筹将会是个好"
"标注 (黄)","第 152 页","","就是通过降低自己的地位，间接地抬高"
"标注 (黄)","第 154 页","","《最愚蠢的一代》（The Dumbest Generation）中说一个人成熟的标志是，明白每天发生在自己身上99%的事情对于别人而言根本"
"标注 (黄)","第 156 页","","这些魔鬼契约都是以别人的无心、善意或者恶意的评价开始，以你最终把它变成自己内心的声音结束，然后你就在不知不觉中慢慢丧失了自己的"
"标注 (黄)","第 157 页","","永远不要相信任何人对你的任何评价，这个人包括你自己！因为不管别人对你的评价是好的还是不好的，那都是他们对你言行的"
"标注 (黄)","第 158 页","","但也请你记得，你擅不擅长演讲，跟他们都没有任何关系，因为你是流动的、发展的、变化的，所以擅长或者不擅长都不是最终的"
"标注 (黄)","第 158 页","","而最终的你，是选择了听从真正自己内心的声音，去向着你想要的方向成长，并且接纳此刻一切你还成长得不够的"
"标注 (黄)","第 160 页","","如果感觉到自己被冷攻击了，就一定要大胆找这个人谈谈。这就是决定你命运的“关键对话”，不说出来的话只会停留在你的脑袋里，永远不会被其他人听到，所以也是所有误解和错误决定的"
"标注 (黄)","第 162 页","","效率专家Brian Tracy（博恩·雀西）指出，我们工作中的绝大多数价值都由仅仅三件事情创造。其他所有的任务，要么是可以安排出去的，要么是可以外包的，要么是干脆可以不用做"
"标注 (黄)","第 163 页","","把别人的影响降到最低需要先学会抛开眼前的纷争，只关注对自己而言重要的"
"标注 (黄)","第 164 页","","有些事是“重要”的，有些事是“你能搞定”的。而更多的事是既“不重要”，你又“不能控制”"
"标注 (黄)","第 164 页","","内心强大的前提，是去关注并处理好那些“重要”且你能“应付得来”的"
"标注 (黄)","第 167 页","","You are the average of the 5 people around"
"标注 (黄)","第 168 页","","正如很多老一辈的人所说，年轻人最容易犯的错误就是耐不住性子。他们优化着自己短期目标带来的效果，却忽略了长远目标的"
"标注 (黄)","第 185 页","","如果你在一个团队中无法做出贡献，相信我，你会生不"
"标注 (黄)","第 185 页","","你每天会为不知如何打发那8小时而熬得很辛苦。虚度生命、浪费才华才会让你产生强烈的疲惫和"
"标注 (黄)","第 188 页","","人脉的价值和你认识他多久没有关系，和你跟他喝过多少次酒没有关系，唯一有关系的就是你对他有多大的利用价值。你的利用价值越大，他就越会"
"标注 (黄)","第 188 页","","与其把时间花在多认识人上面，不如花时间提高自己的个人"
"标注 (黄)","第 191 页","","一个人要往上走，不但需要上面有人提携，还需要下面有人支撑，缺少任何一股力量你都是上不去"
"标注 (黄)","第 202 页","","不过，真正的人脉关系建立者首先关注的是自己能否为别人做点"
"标注 (黄)","第 205 页","","我有“求助恐惧症”，当我遇到困境时我害怕向别人提出请求，害怕给他们造成麻烦或被"
"标注 (黄)","第 205 页","","胆小的我是这样办的：因为不敢向老板提出加薪我干脆辞了职，为了躲避前女友我干脆搬到了另外一个"
"标注 (黄)","第 205 页","","这不是达成了目标，顶多只能算是鸵鸟心态。我决定不能再继续这样"
"标注 (黄)","第 214 页","","时间是生命，彼此相处就是“以命换命”。在有限的生命里，我们为获得利益最大化，交换彼此的生命体验和"
"标注 (黄)","第 230 页","","很多人在时间安排上的最大问题是：试图每一天都固定做几件事情，而且集中在一整段时间中"
"标注 (黄)","第 231 页","","读书也好，跑步也好，冥想和早起，重要的不是“做那个行为”，而是“通过那个行为”，获得我们所想要达到的本质和"
"标注 (黄)","第 233 页","","真正Enjoy生活中的每一个当下、每一件事情，全情投入，尽情"
"标注 (黄)","第 240 页","","根本原因在于，你其实心里很清楚你每天做的事情"
"标注 (黄)","第 241 页","","我一直重复同样的事情以求精进，总是向往能够有所进步，我继续向上，努力达到巅峰，但没人知道巅峰在哪里。即使到我这年纪，工作了数十年，我依然不认为自己已臻至善，但我每天仍然感到欣喜。我爱自己的工作，并将一生投入"
"标注 (黄)","第 241 页","","如果说时代的更迭令人扼腕，唢呐逐渐为世人鄙弃更让人倍感孤独与凄凉，那么天鸣对唢呐、对师傅、对父亲的敬畏和愿意坚守的品性难道不是永不会过时和值得敬重的气质"
"标注 (黄)","第 242 页","","几乎所有的日本职人故事的背后都有这样一个逻辑：在他们眼里，自己就像荷马史诗中最善跑的英雄阿基里斯，一直在追赶一只乌龟，无限接近，却永远也追"
"标注 (黄)","第 243 页","","真正的职人把简单的事情做到极致，而不在乎所从事的事业是否多么伟大。真正的职人，做再普通的事也会不"
"标注 (黄)","第 246 页","","自我效能感是美国心理学家提出的一个概念，指的是人们对自己是否能够利用所拥有的技能，去完成某项工作行为的自信程度。而这种自信是基于自己价值和能力的一种认可。而且这种认可很稳定，很难会因为外在的否定意见或批评的声音而"
"标注 (黄)","第 250 页","","可能你置若罔闻的那些人，就是对你的影响力很低的人。换句话说，让你一点就着的人，可能是对你影响力很高的"
"标注 (黄)","第 256 页","","这就是过程和结果导向的差别。结果导向的人问问题的方式是：做什么才可以达到什么样的结果？但我们慢慢发现，这个世界上几乎所有值得我们努力的东西，根本没有一个简单的"
"标注 (黄)","第 257 页","","此刻我坐在这里，很轻松地写给你和自己这些文字，甚至也愿意把自己最脆弱的部分暴露给你，因为我知道那些真正连接我们的，不是我们的完美，而是我们每个人的不"
"标注 (黄)","第 265 页","","分享是最快的学习方法，教是最好的"
"标注 (黄)","第 269 页","","时刻记得：脑力劳动者的价值和劳动时间无关，只和“不可替代性”"
"标注 (黄)","第 285 页","","降低你每天的“选择”"
"标注 (黄)","第 286 页","","“……让拥有强大力量的习惯帮你做出决定，我们就能够摆脱做不完的选择和耗费精神的"
"标注 (黄)","第 296 页","","“我的大多数尝试都失败了，但你们都看不见它们，只看见我的成功。所以有些人认为我做什么都能成功。 结果就是，他们把失败归结于他们自身，忽略了世界的"
"标注 (黄)","第 297 页","","后者2010年在《自然》杂志上发表了一篇文章，题为CV of"
"标注 (黄)","第 298 页","","换言之，你从简历里看到的别人，就好像在朋友圈里看到的照片，都是磨过皮的、用过滤镜的。 他们真实的人生，并不像简历里那样"
"标注 (黄)","第 299 页","","在《自然》杂志上的那篇文章里Stefan就说，他申请工作的成功率大概为15%，也就是说，每尝试7次，才能成功1"
"标注 (黄)","第 299 页","","因为说到底，成功是小概率事件，不增加尝试的次数，又何谈"
"标注 (黄)","第 299 页","","2014年，Facebook以190亿美元收购社交通信软件WhatsAPP，刷爆各大新闻网。 而大多数人不知道的是，WhatsAPP的创始人Brian Acton 2009年曾去Facebook、Twitter等公司应聘，结果也被"
"标注 (黄)","第 301 页","","殊不知，人人都有一份“失败简历”，每一次成功背后，都是呈几何倍数的"
"标注 (黄)","第 303 页","","其次，不要迷茫，把握好"
"标注 (黄)","第 308 页","","对于你这样的年轻人，相比未来10年，更重要的是把握好当下。迷茫发呆不如捧起一本书——发呆是在浪费时间，但读书是在增长"
"标注 (黄)","第 312 页","","那种最令人瞩目的，最有争议的，最让大家迷茫、失落甚至愤怒的现象，你得去了解背后发生了"
"标注 (黄)","第 313 页","","我们处在一个剧烈变化的时代，我们必须要急速地跟上这个时代。跟上时代的方法就是勇敢地驾驭着变化的浪潮，不要害怕"
"标注 (黄)","第 315 页","","当你生气的时候，恰恰说明了你没有应对的"
"标注 (黄)","第 320 页","","每一个自媒体人或者说正在创业的人，都在这样的状态下反复，每晚睡前都觉得自己一无是处马上要完蛋了，第二天早上又觉得自己太牛×了，世界都是我的"
"标注 (黄)","第 320 页","","所以冯唐才能写出那么血腥现实的文字——“世界这么多凶狠，他人心里那么多地狱，内心没有一点浑蛋，如何走得"
"标注 (黄)","第 322 页","","而且话又说回来，创业并不是一种职业，而是一种把事情做到极致的态度，一种“哪怕全世界都嘲笑，只笃定自己”的信仰。这两点做到了，你就是在"
"标注 (黄)","第 323 页","","第一份工作最好还是能去《财富》500强公司——学规矩；然后，如果你想在一份工作中尝试不同事情，迅速学会一些新技能，可以考虑在学好规矩后跳槽去创业"
"标注 (黄)","第 323 页","","刚走出象牙塔的学生，在职场中首先要学会的是执行力和职业化，而不是创造和"
"标注 (黄)","第 331 页","","做一名企业家和跑步其实是一样的。能让你失败的只有两件事：一个是从未开始，另一个是"
"标注 (黄)","第 331 页","","半途而废意味着浪费了一开始做选择时你舍弃的所有机会成本。当你精疲力竭时，也要咬牙坚持下去。当你感到累时，要继续前进。当你不想这么做时，你也要继续前进。总之，你要一直前进"
