"您为此书添加的 Kindle 笔记：",,,
"写出我心:普通人如何通过写作表达自己",,,
"作者：娜塔莉·戈德堡(Natalie Goldberg)、 韩良忆、 袁小茶",,,
"免费 Kindle 极速预览：",,,
"http://z.cn/0sCU5Pj",,,
----------------------------------------------,,,
,,,
"批注类型","位置","已加星标？","批注"
"标注 (黄)","位置 453","","必须想出办法让自己动笔，否则，洗碗盘或随便什么能让你规避写作的事情，都会变成天底下最重要的大事。总之，闭嘴，坐下，写，就对了。这样做很痛苦，但写作是很单纯、基本且严苛的事，没什么有意思的小玩意儿能使它变得好玩"
"标注 (黄)","位置 457","","有段禅语说：“说话时便说话，行走时便行走，死亡时便死亡。”该写作时便写作，别让自己和内疚、控诉及暴力的威胁"
"标注 (黄)","位置 462","","印度瑜伽行者巴巴·哈里·达斯（Baba Hari Dass）说：“因为要学，所以"
"标注 (黄)","位置 473","","不妨使出各式各样无伤大雅的小伎俩，只是别陷入无止境的罪恶感、逃避和压力的恶性循环里。该写的时候到了，就写"
"标注 (黄)","位置 484","","那个声音晓得“乏味”二字会使你呆立原地，无法举步向前，因此你经常会听见自己用此二字嫌弃自个儿写的东西。把“你很乏味”当成远处微风吹动洗好的白衣服所发出的啪啪声。衣服终究会晒干，远方的某个人会把它们叠好并收进屋里。在此同时，你也将继续埋首"
"标注 (黄)","位置 500","","我试着活在当下，无所畏惧，开放心灵，当下的状态自会提供"
"标注 (黄)","位置 503","","心里一害怕，写作便会受影响，因而失真。“但是你有怕的理由啊！”错了，是先入为主的成见让人心存"
"标注 (黄)","位置 524","","片桐老师说：“能力好比是地表底下的水。”无人拥有这水，然而你可以汲取。你努力下工夫汲取，它终将归你"
"标注 (黄)","位置 528","","我们借着写来学写作，事情就是这么简单。求之于外，去找我们以为是写作专家的人，反而是学不会写作"
"标注 (黄)","位置 583","","我们不该想“这是个写作的好题材”，或“我们不应当谈这个”，而应该百无禁忌，无所羁绊。写作、生活和心灵是一体的，不可"
"标注 (黄)","位置 610","","写作时，把一切都放开，设法用简单的文字起个简单的头，表达内心深处的想法。一开始并不会很顺利，但就算力不从心也无所谓，你正在剥除自己一层层的外衣，正在暴露自己的生命；那并不是你的自我想要呈现于外的形象，却是你作为一个人的真实"
"标注 (黄)","位置 613","","如今，每当我脾气暴躁、心情恶劣、不满、悲观、消极、觉得什么都不对劲时，我会意识到这些都是当下的"
"标注 (黄)","位置 656","","我原本以为自由代表为所欲为。自由其实意味着知道自己是谁，在这世上应当做些什么，然后切实地去完成自己的"
"标注 (黄)","位置 733","","写作时也当如此：让写作来完成写作，让你自己消失。你只是在记录涓涓流过你身体的思绪"
"标注 (黄)","位置 737","","片桐老师有云：“文学能告诉你生活是什么面貌，却不能告诉你如何摆脱"
"标注 (黄)","位置 763","","时间是人类所拥有的十分宝贵的基本"
"标注 (黄)","位置 789","","呼吸到这股气息着实令人欢喜兴奋，因此最好记住下面这段话：想让自己感到酩酊醺然，别喝威士忌；大声朗读莎士比亚、丁尼荪、济慈、聂鲁达、霍普金斯、米雷、惠特曼，让你的身体高歌"
"标注 (黄)","位置 801","","歌唱有九成靠倾听，你得学会聆听。”只要你听得彻底，那乐音便会盈满你体内，所以当你一张开嘴巴，音乐便自然而然会从你体内流淌"
"标注 (黄)","位置 808","","倾听就是有容乃大，你听得越深刻，就会写得越好。你不带成见地接纳事物的本色，到了第二天，便可写出关乎事物本色的"
"标注 (黄)","位置 809","","杰克·凯鲁亚克曾列表说明散文写作的要素：“对万事万物皆怀抱恭谨，敞开心胸，倾心聆听。”他同时也说：“不要拽文作诗，要确切呈现事物的"
"标注 (黄)","位置 820","","十七世纪日本的俳句大师芭蕉曾说：“欲知一树，走向彼"
"标注 (黄)","位置 822","","日本禅宗大师道元说道：“走在雾中，会弄湿"
"标注 (黄)","位置 849","","作家有时会搞不清楚状况，以为写作给了我们活着的理由，而忘了活着是没有条件的，生活和写作乃是两个分开的"
"标注 (黄)","位置 867","","我们想要诚实无欺的支持和鼓励，一旦得到了，却又偏偏不相信，反而轻易听信苛责，以强化心底根深蒂固的一个想法，那就是其实我们根本不行，根本不会"
"标注 (黄)","位置 871","","有人赞美你时，真的请你住嘴，就算感觉很不好受、很不习惯，也请保持呼吸，倾听，让自己听进去那些话，感受那美妙的感觉。建构起接纳正面、诚挚支持的"
"标注 (黄)","位置 922","","片桐老师常说：“对一切有知觉的众生常怀善念。”我曾经问他：“有知觉的众生到底是什么？是有感觉的人和物吗？”他对我说，我们甚至必须对椅子、空气、纸张和街道怀有善念。人心必须变得如此宽阔有肚量。当佛陀在菩提树下悟道成佛时说：“我与众生皆成佛。”他并不是说“我成佛了而你没有”或“我看到佛了”，好像他归他，佛归佛"
"标注 (黄)","位置 983","","有关写作，有一句古老的箴言：“别光讲，展现"
"标注 (黄)","位置 983","","这话到底是什么意思？它的意思是，别光是告诉我们你很愤怒（或其他一些伟大的字眼，比如诚实、真理、憎恨、爱情、悲伤、生活、正义等），向我们展现是什么令你愤怒。我们阅读以后，也会觉得愤怒。别告诉读者该有什么感受，把状况展现给他们看，自然会唤起他们内心的"
"标注 (黄)","位置 1005","","这并不代表你不能写自己未亲身遭遇到的事情，而是说你务必在文中注入生命气息，否则的话，写出来的文字会虚无缥缈，看不见你这个人的"
"标注 (黄)","位置 1025","","磨亮你的觉察力，持续不辍：觉察名字、那一月、那一天，最终觉察到那"
"标注 (黄)","位置 1026","","威廉姆斯还说：“不要概念，而要具体的"
"标注 (黄)","位置 1072","","我们必须牢记，一切事物都是既平凡又不凡；事物平凡与否，全看我们的心灵是开放还是闭塞的。细节无所谓好或坏，它们就只是细节"
"标注 (黄)","位置 1081","","我们不光是为自己而活；人与人之间相互关联。我们为大地、为得州、为昨晚捐躯供我们食用的鸡、为我们的母亲、为公路、为天花板和树木而活。我们有责任善待自己，然后以同样的方式善待这个"
"标注 (黄)","位置 1084","","片桐老师说：“喝杯茶是件很深奥的"
"标注 (黄)","位置 1137","","最好当个部落作家，为所有的人写作，反映人群当中许多不同的声音，不要只是做个隐士型作家，只追索个人心灵中微不足道的真理。提笔写作时，应视野恢宏，胸怀"
"标注 (黄)","位置 1160","","接着，我们又坠回凡间，唯有写出的作品保留了那恢宏的洞察力。这就是为什么我们必须一而再地回到书本跟前──我指的是好书，并且一而再地阅读种种洞悉人生意义与方向的见解。我们既生而为人，就得历经这番挣扎，如此一来，我们便能一而再地对自己生出怜悯之心，并且彼此"
"标注 (黄)","位置 1171","","不管你有多么忙碌，一定要保持沉静──至少全身当中有一部分是静止的──并且搞清楚自己身在"
"标注 (黄)","位置 1175","","片桐老师说：“当下你便是佛！”只是在我们太忙，或像我朋友那样，太害怕的时候，我们便忘了这一点。因为害怕迷失方向，她于是就迷失"
"标注 (黄)","位置 1184","","就当是上午十点，也就是你当天预定开始写作的时刻，加重定时写作的压力，写一个小时或二十分钟。时间长短任你决定，不过务必全力投入，手不停地写，透过你的笔，将你血脉中的一切，统统倾注在纸上。千万别停手，别偷懒，别做白日梦，写到你精疲力竭"
"标注 (黄)","位置 1197","","句型结构显示，女性总是在寻求别人附和她们的感受和见解；她们并不是在提出声明后，便坚守声明“这很美”或“这很糟糕”。她们需要别人的"
"标注 (黄)","位置 1201","","这世界并非总是黑白分明，人不见得能确定自己可不可以去某个地方，然而务必作出清楚、斩钉截铁的声明，这一点对写作新手来讲尤其"
"标注 (黄)","位置 1204","","提出声明不啻在练习信任自己的心，学习坚持自己的"
"标注 (黄)","位置 1205","","我让自己把所有含糊、不确定的字句统统拿掉；那种感觉就像冲好澡以后，身上的浴巾硬生生被扯掉，浑身光溜溜地站着，暴露出自己真实的样貌和"
"标注 (黄)","位置 1207","","因此，纵使人生并非永远清楚分明，但清楚且肯定地提出声明表达自己的见解却是件好事。“我是这么认为和感觉的”、“眼前我就是这样的人”，这需要勤加练习，却会带来很多的"
"标注 (黄)","位置 1211","","另一个应加以注意的是问句。凡是写出来的问题，你自己都得回答出来。写作时写出了一个问句，没关系，可是你必须立即更深入挖掘自己的内心，然后在下一个句子里回答前面的"
"标注 (黄)","位置 1215","","别害怕回答问题，你将发现自己内在无穷的机智。写作是在焚尽你心灵中的迷雾，别把雾气带到纸上。就算有件事你并不是很确定，表达的时候，也得做出对自己胸有成竹的样子。如此这般地多多练习，最后你会真的"
"标注 (黄)","位置 1251","","这并不表示你在写作时，应该停下沉思一个小时，好想出一个新动词。只是要留意动词以及动词的力量，并以新的方式来运用动词。你对语言的各种面向越是注意，文笔就会越生动。到头来，你可能会认定还是用跑、看、走等一般动词比较对味。这也没关系，可是那一定得是你自己所作的选择，而不是糊里糊涂，要么在睡觉，要么在打盹的情况下写出的"
"标注 (黄)","位置 1289","","而且，我们的心灵是很狡诈的，似乎我一提笔写作，心里便会想起一百件我更想做的好玩"
"标注 (黄)","位置 1294","","你可以有不同的说法，不过，我们会使出这些小把戏，基本上是因为我们内心当中在抗拒的那一部分开始在作祟了。它想抗拒什么呢？工作和"
"标注 (黄)","位置 1295","","去年秋天，有一阵子只要我一提笔写作，脑子便一片空白，内心涌起一股安乐感；我凝视窗外，心里洋溢着大爱，觉得与万事万物融为一体。我就这样坐着，有时竟坐满了整段原本计划写作的时间。我自忖：“注意看哪，我逐渐觉悟成佛了！这比写作重要多了，何况不管写什么，目标都是想达到此一境界。”等这种情况过去了好一阵子以后，我请教片桐老师，他说：“喔，你只是在偷懒而已，好好工作"
"标注 (黄)","位置 1309","","海明威在《流动的盛宴》（这本书太棒了，快读读吧！）中谈到他在巴黎咖啡馆里写作的往事，以及当时乔伊斯说不定和他只隔了几张桌子"
"标注 (黄)","位置 1333","","那已变成逃避写作的另一个小把戏。我看过不少朋友在营造了完美空间后，根本就受不了踏进里面一步，在厨房的桌子上写东西倒还比较舒服。叫人坐在精美的空间里，摩挲着写作所带出的人生不尽完美的种种，真是谈何容易。我们打造了沉静的精美房间，却又渴望在嘈杂又凌乱的咖啡馆里写作。我们当中不少人营造了美丽又井然有序的夏日花园，却巴望着置身树林中，那里有落叶、小虫，而且看起来紊乱而荡然无序。我们的书房自然会出现翻开后未合起的书、至少一只盛着半杯旧茶水的杯子、散落的纸张、一沓沓未回的信、一个饼干盒、踢到书桌底下的鞋子，以及地板上一只分针坏掉的"
"标注 (黄)","位置 1339","","禅师都说，我们的房间显示我们的心灵状态；有些人害怕空间，所以在屋里每个角落都塞满东西。这就像是我们的心害怕空虚，因此心里时常思潮澎湃，老是想东想西。不过，我觉得写作的空间是另一回事；一点点外在的失序显现心灵的丰富多产，表示这个人创造力旺盛。一间完美无瑕的书房总是向我显示，房间的主人恐惧自己的心灵，其外在空间反映出内在的控制欲。创作正好相反，它是失去"
"标注 (黄)","位置 1370","","如果你在春情荡漾的时候写下吃甜瓜的事，即使你从未提及情色二字，我们读文章时仍会感觉春情"
"标注 (黄)","位置 1375","","一如你一直以来的期望，大胆厚颜地直挑情色题材，而且不会因此觉得恐慌或"
"标注 (黄)","位置 1379","","什么令你热情如火？ 列出你所知具有性意味的水果。 没谈恋爱时，你都吃什么？ 你身体的哪一部位最有情色意味？ “躯体变成了大地景观”──美莉朵·乐苏尔──这句话会让你联想到什么？ 你头一回感觉春情荡漾的"
"标注 (黄)","位置 1383","","记住要写得明确清楚，开始吧，让你的手不停地写，不要"
"标注 (黄)","位置 1410","","拿出另一本笔记本，抽出另一支笔，只管写，写，写。在这世界的中央，踏出积极的一步；在一团混乱的中心，采取明确的行动。只管写，持肯定的心态活下去，时时保持觉察。只管写，写，写。 最后，世上没有十全十美的事，如果你想写作，就得明白这一点并提笔开始写。没有十全十美的气氛、笔记本、笔或书桌，因此请训练自己保持弹性。试着在不同的环境和场所写作：在火车上、在巴士上、在厨房餐桌上、独自在森林中倚着树干、在溪畔把双脚泡在水里、坐在沙漠中的岩石上、在家门前马路的围栏上、在走廊上、在门阶上、在汽车后座、在图书馆、在午餐吧台、在巷子里、在职业介绍所、在牙科诊所候诊室、在酒吧的木头雅座上、在机场、在得州、在堪萨斯州或危地马拉、在啜饮可乐、抽着烟、吃着培根莴苣西红柿三明治"
"标注 (黄)","位置 1419","","当我再抬起头时，已经过了一小时，我心想：“这太完美了。”当时我的座位并不完美，可是只要我们写得热烈又专注，在哪里都无关紧要：这是种完美的状态。晓得自己无处不可写作，予人极大的自主感和安全感。只要你想写作，不论如何，你终究都会有办法可"
"标注 (黄)","位置 1435","","即使你已经推了自己一把，并觉得已有所突破，也得再推一把。 一旦往前再游出去，在浪头上能留多久便留多久。请勿半途停下，那一刻不会一模一样地重现；现在不一口气完成，以后回头再写，将耗掉你更多的"
"标注 (黄)","位置 1446","","星期二那天我觉得需要独处，想四处走走、写点东西。每个人一生中都有自己最恐惧的事物，我害怕的是寂寞。我们最害怕的事物，自然也是我们最有必要加以克服的事物，克服以后才能实现生命的"
"标注 (黄)","位置 1451","","每一回只要我觉得无所适从或茫然若失，似乎就会开始怀疑自己整个的人生，我就会变得很痛苦。为了让自己及时自拔，我会告诉自己：“娜塔莉，你本来 打算写东西的，现在就写吧，我才不管你是不是觉得混乱又寂寞。”于是我开始"
"标注 (黄)","位置 1470","","接着，就在那一章的结尾，一天深夜，他坐在校门外，内心一片宁静。就在那一刻，他接受了他的处境。他明白了，一切事物皆无好坏之分，只要活下去就是"
"标注 (黄)","位置 1471","","自我们的痛苦中出发写作，终将促使我们对自己既渺小又时时在摸索的生命产生怜悯；从此一残破的状态，恻隐之心将油然而生，我们将怜惜我们脚下的水泥地，还有在疾风中噼啪作响的干草。我们将可触及周遭的一切，我们以前觉得它们好丑，如今则看到它们特有的细节，比方剥落的油漆和灰暗的阴影──其实这就是它们的本色，没有好坏之分，且就是我们生活周遭的一部分而已。热爱生活，因为它是我们的生活，此时此刻，什么也比不上"
"标注 (黄)","位置 1482","","“呃，我会尽力而为，我觉得应该要试试看。如果没成功，也没关系，我会坦然接受。” 老师答称：“这个态度是不对的，要是有人把你打倒了，你得站起来。要是他们再一次打倒了你，你要再站起来。不管你被人打倒多少次，都得再站起来，这才是你应有的"
"标注 (黄)","位置 1486","","如果你想写作，只管写吧。如果写好了一本书却没人肯出版，那就再写一本。你会越写越好，因为你已经有过更多的练习"
"标注 (黄)","位置 1492","","别听信怀疑的声音，它没有别的用处，只会让你痛苦消极。它就像你正设法写作时，心里那个对你挑三拣四的声音：“那太愚蠢了，别那么写。你以为你是谁啊？竟然想当作家。”别去理会那些声音，它们有害无益。相反地，对你的写作要有怜爱之心与决心，保有幽默感和极大的耐心，相信自己正在做一件正确的事。不要被怀疑那只长着啮齿的小老鼠给咬到了，放眼去看看广袤无边的人生，并且对时间和练习保有"
"标注 (黄)","位置 1500","","写作也应该是这样。从一开始就应该保持美好喜悦的心情，别和写作为敌，让它变成你的"
"标注 (黄)","位置 1501","","写作是你的朋友，它永远都不会背弃你，倒是你说不定会多次背弃它。写作的过程源源不绝地带来生命和生命力，有时我从外头工作回家，心里又乱又烦，这时我便会告诉自己：“娜塔莉，你晓得你需要做什么，你需要写作。”我要是聪明的话便会听从，要是当时自暴自弃，或者正处于非常懒惰的状态中，便不会听劝，就继续忧郁下去。然而，当我确实听话时，它让我有机会探触自己的生命，这往往让我整个人变得柔软，让我得以再度拾回自我。即使我笔端写的是那天上午高峰时刻在公路上发生的细节，重温这些细节通常会赐给我一种平静与笃定的感觉。“我是个人；我早上醒来，开车上了"
"标注 (黄)","位置 1571","","我们写在当下，反映了当时心中的想法、情绪和环境。不同的回答并无真伪之分，它们都是真实"
"标注 (黄)","位置 1582","","我告诉你们这件事，因为它很重要。我们乐于每周抽出一整天的时间全身心投入写作，是因为写作、分享和友谊都具有重要"
"标注 (黄)","位置 1584","","请记住，当你的人生除了挣钱维持生活以外别无其他意义，而你发觉自己为此忧心忡忡时，请记住我和凯"
"标注 (黄)","位置 1610","","片桐老师说：“我们的目标是，一辈子时时刻刻都要对一切有知觉的存在怀抱善"
"标注 (黄)","位置 1673","","如果你坐下来，好好读读由布莱斯（R.H. Blyth）精译的芭蕉、子规、一茶和芜村等四大俳句名家的"
"标注 (黄)","位置 1694","","常念及生命无常 并不荒唐可笑 反而能让我们 活得更有生命力 更有现实感 并时时保持"
"标注 (黄)","位置 1715","","人生在世，偶尔应当疯狂一下，失控一下，用不同于平时的观点看问题，并了解到这世界并不是我们所以为的那样；世界并不扎实，并没有明显的结构，也不是不朽的。我们总有一天会死去，这一点是无法被左右"
"标注 (黄)","位置 1718","","事实上我们并不知道自己何时会死，我们希望能寿终正寝，但可能下一分钟就会丧生。常念及生命无常并不荒唐可笑，反而能让我们活得更有生命力，更有现时感，并时时保持"
"标注 (黄)","位置 1734","","铃木老师在《禅心，初始之心》中说：“管理人群的最上策，就是鼓励他们淘气。如此一来，他们便会受制于这种较宽广的知觉。给你的牛或羊一片广袤的牧草地，这才是管制牛羊的办法。”你也需要一片宽敞的写作场域。别太快扯缰绳，给自己庞大的漫游空间，做个彻底迷途的无名氏，然后重返故土，开口"
"标注 (黄)","位置 1741","","就像从事任何运动一样，为了让写作进步，你就得勤加练习。不过，不要只是盲目地定期练习，尽责了事。“是的，我今天已经写了一个小时，昨天也写了一个小时，前天也一个小时。”别光是把时间写满为止，这样还不够，你必须非常尽力。当你坐下习作时，应乐于把整副生命放进字里行间。不然的话，你只不过是机械性地推着笔横过纸上，并且不时地看一看时钟，看时间到了"
"标注 (黄)","位置 1754","","你将慢慢体会到自己的节奏──何时需要写、何时需要休息。这会让你和你自己的关系更加深刻，而不是盲目地依循"
"标注 (黄)","位置 1756","","她的那副模样我看了很难受，因为不管教书也好，洗衣烧饭也好，还是提笔写作也好，她都只是在尽尽责任"
"标注 (黄)","位置 1758","","一直以来，我们都被教导做人行事得守规矩，可是我们从未思考过这些规矩的价值"
"标注 (黄)","位置 1780","","感受当下的情境是很重要的，不要在事前即自我"
"标注 (黄)","位置 1781","","与其遵守规则，不如对众生心怀善念。立下规则是为保护事物不受伤害或滥用，只要心存良善，不必参考法规，自然而然也会"
"标注 (黄)","位置 1784","","勿设定规矩──“我每天都得写”──而后麻木地照章"
"标注 (黄)","位置 1785","","一旦你深入写作的天地，便无法抽身而出，宣告玩完之后，就回家“乖乖做人”，而且不讲实话。如果你在习作时下笔彻底坦诚，那么诚实的因子便会渗进你的生命"
"标注 (黄)","位置 1798","","当你什么都尝试过了——结婚、当嬉皮、云游四海、住在明尼苏达或纽约、教书、灵修——你终于接受写作是你的志业，你没有其他的路可走。所以，不管你有多么不情愿，总会有一天，总会有第二天，前头总是有写作这项工作。你不能指望天天都能写得很顺畅，事情不会是这样的。有一天可能顺利得不得了，生产力旺盛，但下一回提笔再写时，却丧气地直想报名上船，出海到沙特阿拉伯去算了。写作这件事是没个准的，你可能以为一口气写了三天，你终于创出自己的节奏；然而接下来的一天，唱片却跳了针，一路吱吱作响，讨厌"
"标注 (黄)","位置 1843","","我和丈夫分手时，片桐老师对我说：“你应该独自生活，应该熟悉那种状态，那是人最终的住所。” “老师，我会渐渐习惯寂寞吗？” “不，你不会渐渐习惯。我每天早上都冲冷水澡，而每天早上都被冷得吓一跳，可是我继续站在淋浴喷头底下。寂寞永远会咬噬人心，但是得学着挺身迎向它，别被"
"标注 (黄)","位置 2032","","我们都是佛，我看得出你是佛，但你并不相信我。等你看到自己是佛，就会醒觉了。那便是"
"标注 (黄)","位置 2041","","这世界承认它好，哪有我们自己承认它好来得重要。这是最要紧的一步，如此我们才会感到满足。我们很好，当我们写出好作品时，那是件好事。我们应当加以认可，并挺身拥护我们的"
"标注 (黄)","位置 2080","","因此，当你来到日本武士的天地，人就得变得强悍一点。不是要你变得残酷无情，而是要有面对真相的强悍作风。真相到头来并不会害人；真相使得这世界变得更清楚分明，诗句更光华"
"标注 (黄)","位置 2130","","这是赤裸裸的写作，是一个机会，让我们得以审视自己，显露自己的真实面貌，并且在不试图操纵、没有侵略性的情况下，接纳我们自己。“我不快乐”──别企图掩盖这个声明，如果那就是你的感想，不要作任何判断，接受它就是"
"标注 (黄)","位置 2168","","在我们临终前的那一刻，应该简简单单地道出我们的感想──“我不想死。”用不着愤怒、自责或自怜，而要 接受真实的"
"标注 (黄)","位置 2171","","尽管死神正在我们身后嚎叫，而生命在我们眼前翻转不休，我们都能提笔便写，去写我们不能不讲的"
"标注 (黄)","位置 2173","","任何事情 只要投入全副心力 便是一趟孤独的"
"标注 (黄)","位置 2181","","最大的挣扎并不是在真正提笔写的时候，而是得努力克服既怕成功又怕失败的恐惧心理。最后终于燃烧殆尽，只留下纯粹的"
"标注 (黄)","位置 2187","","明白这一点是很重要的。我们都以为成功能带来快乐，可是成功也可能带来寂寞、孤立和失望。成功可能带来任何东西，这句话有其道理。给自己空间，想怎么感觉便怎么感觉，可是不要觉得自己不应该拥有各式各样的"
"标注 (黄)","位置 2218","","对于这些理由，我从不以为意。说句不好听的，这些理由都是借口罢了。你想做成一件事，又害怕去面对它。在这么多年的 生活中，我发现很多人只是缺乏真心投入罢了。他们有过激情，却让激情自生自灭了。我从不听信这些理由，听一会儿我就烦了。就跟我自怨自艾一样，都让人受不了——都是“心猿”[3] 罢了。借口是什么，其实并不"
"标注 (黄)","位置 2229","","我们把生命中的很多名字都当成了借口——当成了我们不想去做事、畏惧开始的借口。总而言之，如果你想去写作，你就要闭紧嘴巴不再谈论这些借口，拿起笔开始写。我这些话可能说得很直白，有些伤人。但这就是我们的真实生活。我们需要大步向前。哪怕我们只能写10分钟，都是好的。只要拿起笔开始写，就胜过所有的"
"标注 (黄)","位置 2240","","有时候，只是我们心猿意马，让我们无法写下去。不要相信那些理由（"
"标注 (黄)","位置 2258","","你可以变成一个有意识、有心思的作家，先从知道身边每棵树、每种植物的名字做起，从观察阳光洒在汽车车身上的颜色做起。这些都可以从练习做起。如果你有写作天赋，那自然是人生幸事，但仅仅靠天赋是走不长久的。后天努力会让你走得"
"标注 (黄)","位置 2262","","我的写作一直是跟禅修、正念、静坐相关联"
"标注 (黄)","位置 2264","","对于我而言，写作和禅宗讲的“空性”[6] 是结合在一起的。你可以创作出属于自己的表达方式，你可以永远葆有创作的"
"标注 (黄)","位置 2281","","在写作训练中，你会把这些心念都抓住，然后把它们写出来。这个写作的过程，也是你不断追随自己心念的过程。当你的心念变成了一股涓涓细流，你正坐在溪流之中，那么心念也就不再像打坐时那样黏在脑袋中了。从某种意义上说，写作是一种更有效和方便的调心方式——我追逐我的心念，然后放它们一条生路。而无论我换到哪里去冥想打坐，都需要花很长的时间去给心念找一个出口，需要很长的时间去将它们消化。所以说，打坐冥想和写作训练是两种不同的方式。对我而言，写作是更深层次的禅"
"标注 (黄)","位置 2332","","艾伦跟我说：“当你的想法有条理了，你的写作才能够"
